text	label
"Wir werden immer wieder zum Thema Corona Schutzimpfung und Blutspende gefragt. Geht das überhaupt? Die Antwort ist JA! Es geht. Aber es gibt natürlich Regeln. Ihr findet sie hier:
https://t.co/iW200tBXHd https://t.co/EJT67OqQcp"	3
"Gerade meine 2. Corona-Schutzimpfung erhalten! 💉😷
Leute, bitte lasst euch von den aktuell niedrigen Inzidenzen nicht verleiten! Ein Grund dafür ist, dass kaum noch Tests erforderlich sind. Aber es sind genau darum auch viel mehr Menschen unterwegs‼️
#MaskeBleibtAuf #AHA #Impfen"	1
Also ich stelle meinen #Impfnachweis gerne allen #impfgegnern zur Verfügung. Einfach den #QRCode scannen und dann endlich wieder ungestört unter noch nicht geimpfte und Risikopatienten mischen! #COVIDVaccination #Impfzertifikat #Querdenker #impfgegner https://t.co/LP0bMV8zDL	2
so sehen leute nach der corona-impfung für impfgegner aus https://t.co/A8ZqY6UcLp	1
"Lieblingsstelle #Impfgegner Herrliches Interview von ⁦@c_drosten⁩  
https://t.co/3bnCnF6bEh https://t.co/1CUCfKhecf"	2
"#Impfpflicht

Bin geimpft, hab das auch gerne gemacht. Den Rest kriegen wir auch =•)"	1
"söfu zu ""kei impfpflicht""...
wärs geng noni rafft isch ächt verblödet ;)

News National League | Swiss Ice Hockey Federation https://t.co/zyotlK0VuY via @SwissIceHockey"	4
https://t.co/PM5TgAcqxT #Blogging &gt; #Links und #Zitate zum #Livestream von https://t.co/WCC1s36cjC – Impfpflicht am Arbeitsplatz? Facebook vs Medien, Day One, Google https://t.co/ko5Ghc9zEd #eickermedia 🗃 #Weblog #WirSprechenOnline. #FrischAusDemNetz.	4
#evaherzig es besteht keine impfpflicht neeeiiiinnn	2
Impfstoff in Starnberg: Bis zu 200 Astra-Zeneca-Dosen müssen in den Müll https://t.co/rd35CN7niM	3
"Kanaken nennen das wirklich Impfung Sanki da ist ein toder Antikörper im „Impfstoff“🤣 #GENMANIPULATION 
#QUERDENKER"	2
was ist BIPoC sind jetzt schwarze schon ein impfstoff oder was?	4
Das kann dann auch mal ordentlich schief gehen. Minus 55% und das bereits vor Handelsstart. #CureVac https://t.co/NSUw3x5ATC	4
"Eine Milliarde Impfdosen für Entwicklungsländer klingt super. Aber es sind „nur“ 500 Millionen Geimpfte ( von weltweit 8.000 Millionen!). Und der Impfstoff wird in den Industriestaaten gekauft - bringt also den spendenden Staaten noch Steuereinnahmen.

Besser als nix, aber…"	1
"Na hauptsache wir lockeren wie die Weltmeister... ""Produktionspanne bei Coronaimpfstoff - Ausfall von Johnson &amp; Johnson trifft Deutschland hart"" #JohnsonandJohnson
#coronavirus
 https://t.co/OyUb3T6OKY"	3
"Mal so ne frage in die Runde.. Wäre schön wenn der eine oder die andere sich dazu äußern könnte.. Wie sehen eure Erfahrungen mit dem johnson impfstoff aus?

Schon mal ein vorab danke für eure Antworten

#Corona #COVID19 #Coronaimpfung"	3
"Endlich bei Aldi:
der neue Vektor-Impfstoff von Españisimo. Bitte unbedingt Dosierungsempfehlung beachten! @Karl_Lauterbach @jensspahn @ulfposh @REWE_Supermarkt https://t.co/vxRSAjZGZS"	4
"Neues aus der Kategorie „Hausarztwechsel wäre angesagt“. „Natürlich tut‘s einem leid, aber wir sind selbst auch Opfer“, so der Arzt laut https://t.co/wMv5byp52B. Er habe sich nichts vorzuwerfen. 🙄

Da hätte  ich fast  Bock auf Präzedenzfall.

https://t.co/N2n9CLhQfA"	4
Sollen se mal den Impfstoff reinballern. Hab zwar noch Antikörper für 5 Personen. Aber egal. Zählt ja nicht.	4
wenn ich bald nicht geimpft werde bau ich mir nen eigenen impfstoff ganz ehrlich	1
"@Stadt_Wien woran liegt es, dass Stmk allen Impftermine bis Anfang Juli geben kann, während in Wien nicht einmal im August alle dran kommen werden? 
Bekommt Wien weniger Impfstoff (in relation zu zu-Impfenden) als die Stmk, oder mangelt es an Infrastruktur, um zu Impfen?"	1
Wir brauchen weniger Querdenker und mehr Queerdenker 🌈	1
2 1/2 Wochen nach der ersten Impfung und ich bin enttäuscht. Handyempfang nicht besser, zum Aufheben von metal. Gegenständen noch immer bücken usw. Alles Betrug! #ichbingeimpft #Impfung #CoronaImpfung	1
"DU AUCH? 

#ichbingeimpft #CoronaImpfung #CoronaVaccine https://t.co/gH0Gi87fkB"	1
Was plant denn Hamburg @sozialbehoerde? #Coronaimpfung https://t.co/WgAEOYwXyo https://t.co/WndR0tkhpG	3
Ich möchte meine Kinder schützen deswegen NEIN zur Coronaimpfung der Kinder 🙏 #ProtectTheKids	2
"CW: Corona-Impfung

Weil ich mich gerade durchs Impfportal geklickt habe:
Im Impfzentrum #Verden gibt es diese Woche (Ende Juni/Anfang Juli) freie #Moderna-Impftermine."	1
Die Leute im Impfzentrum sind echt nett ;; Aber meine Spritzenphobie wird net besser dadurch😭😭	1
"im impfzentrum getroffen:
- jmd von früher, den ich lange nicht gesehen
- queeres couple (anm.: in der region ist das queere fast unsichtbar, ich suche, aber finde es so selten)"	4
Stabil bleiben. Immer. #impfzentrum #stuttgart #liederhalle https://t.co/frHzYeRfXC	3
Heute im Impfzentrum. Ärztin: „Sie wollen Ihre Kinder also gegen die Empfehlung der Stiko impfen lassen?“ Ich: „Nein, ich will sie auch ohne Empfehlung der Stiko impfen lassen.“ Ärztin: „Ich schreibe also auf, dass Sie das gegen die Empfehlung tun.“	1
Komme heute ins Impfzentrum und sag moin Chef bitte eine pulle biontech in mein arsch aber dalli	1
Dann muss ich dem Impfzentrum ja noch schreiben, dass ich doch keinen Termin mehr brauche. Hoffentlich sind die nicht zu geknickt.	4
@bgv_hh der Qr Code der impfbescheinigung meiner Frau wird von der Corona-Warn App sowie von der CovPass App nicht erkannt. Ist doch der, der groß unten links auf dem Impfnachweis der im Hamburger Impfzentrum ausgestellt wurde, oder?	1
Erste #Impfung. Erstklassige Organisation im Impfzentrum Bremen. Von der Online-Anmeldung über alle Stationen bis zur Ausschleusung alles TOP. @RathausHB_news @sgfv_bremen https://t.co/bHqqVZKBNS	1
#COVID19 #Impftermin ein kleiner Schritt für das #Impfzentrum und ein großer für den Patienten. Ich habe heute meine 2. Impfung gehabt und es fühlt sich sooooooo gut an. 🤗🤗🤗	1
Danke an alle Einsatzkräfte und Helfer im #Impfzentrum stellvertretend @DerExperte 💪 #Frankfurt #covid #biontech https://t.co/o9luBpWOnz	1
"Bei mRNA-Vakzine keine #Auffrischimpfung nötig?

#Impfung #BioNTech #Moderna

https://t.co/Zk9ARlIJ92

Über @updayDE gesendet"	3
"Ich stimme den Coronaleugnern hinter #IchBinAiwanger in einem Punkt zu:

Es hat die niemanden zu interessieren, wieso sich jemand nicht impfen lässt. Gesundheitsthemen sind aus guten Gründ Privatsache!

Dummerweise versuchen aber genau diese Leute, Dritten die Impfung auszureden."	1
Und endlich die erste Impfung Biontech im Arm .	1
Ich soll ruhig machen heute, wurde mir nach der Impfung gesagt. Also sitz ich auf dem Sofa und guck #TheOldGuard 🧡	1
Fragen, die mir bei der Corona Impfung gestellt werden: Haben Sie Höhenangst?	1
"Niemand:

Norddeutsche: ich hatte noch nie eine FSME-Impfung"	4
"CN Impfung

Die App SafeVac habe ich jetzt schon seit einiger Zeit und kann sie jetzt endlich nutzen. Bis 48 Stunden nach der Impfung, könnt ihr eure Impfung eintragen und in bestimmten Abständen Angaben zu euren Beschwerden machen. Hilft der Impfstoffforschung. https://t.co/9NLkrvzNo5"	1
Und dann sitzt man da nach der Impfung, wie die Schlange vorm Kaninchenloch, und wartet auf Nebenwirkungen.	1
Hab die zweite #Impfung erhalten.💉💉	1
"Ach ja bin seid Dienstag übrigens auch geimpft, lasst euch auch impfen, impfen ist cool 👍💉🤣
#Impfung"	1
